"id","name","description","invoice_label","sequence","amount_type","amount","type_tax_use","tax_group_id","children_tax_ids","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
"tcp_cu_tax10_sale","10% VENTAS TCP (BASE)","10% VENTAS TCP","10% VENTAS TCP","1","percent","10","sale","cu_tax_group_sale","","base","invoice","","100"
"","","","","","","","","","","tax","invoice","account_tcp_810001","100"
"","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","tax","refund","account_tcp_810001","100"
"tcp_cu_tax10_sale_reverse","10% VENTAS TCP (INVERSA)","10% VENTAS TCP","10% VENTAS TCP","2","percent","-10.0","none","cu_tax_group_sale","","base","invoice","","100"
"","","","","","","","","","","tax","invoice","account_common_805","100"
"","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","tax","refund","account_common_805","100"
"tcp_cu_tax10_sale_all","10% VENTAS TCP (IMPUESTO)","10% VENTAS TCP","10% VENTAS TCP","3","group","0.0","sale","cu_tax_group_sale","tcp_cu_tax10_sale,tcp_cu_tax10_sale_reverse","","","",""
"tcp_cu_tax0_sale","0% TCP (VENTAS)","0% VENTAS TCP","0% VENTAS TCP","4","percent","0","sale","cu_tax_group_sale","","base","invoice","","100"
"","","","","","","","","","","tax","invoice","","100"
"","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","tax","refund","","100"
