"id","name","description","invoice_label","sequence","amount_type","amount","type_tax_use","tax_group_id","children_tax_ids","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
"private_cu_tax1_sale","1% VENTAS PRIVADO-COOPERATIVO (BASE)","1% VENTAS SECTOR PRIVADO Y COOPERATIVO","1% VENTAS PRIVADO-COOPERATIVO","10","percent","1","sale","cu_tax_group_sale","","base","invoice","","100"
"","","","","","","","","","","tax","invoice","account_private_4400104","100"
"","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","tax","refund","account_private_4400104","100"
"private_cu_tax10_sale","10% VENTAS PRIVADO-COOPERATIVO (BASE)","10% VENTAS SECTOR PRIVADO Y COOPERATIVO","10% VENTAS PRIVADO-COOPERATIVO","11","percent","10","sale","cu_tax_group_sale","","base","invoice","","100"
"","","","","","","","","","","tax","invoice","account_private_4400102","100"
"","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","tax","refund","account_private_4400102","100"
"private_cu_tax1_sale_reverse","1% VENTAS PRIVADO-COOPERATIVO (INVERSA)","1% VENTAS SECTOR PRIVADO Y COOPERATIVO","1% VENTAS PRIVADO-COOPERATIVO","12","percent","-1.0","none","cu_tax_group_sale","","base","invoice","","100"
"","","","","","","","","","","tax","invoice","account_common_805","100"
"","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","tax","refund","account_common_805","100"
"private_cu_tax10_sale_reverse","10% VENTAS PRIVADO-COOPERATIVO (INVERSA)","10% VENTAS SECTOR PRIVADO Y COOPERATIVO","10% VENTAS PRIVADO-COOPERATIVO","13","percent","-10.0","none","cu_tax_group_sale","","base","invoice","","100"
"","","","","","","","","","","tax","invoice","account_common_805","100"
"","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","tax","refund","account_common_805","100"
"private_cu_tax1_sale_all","1% VENTAS PRIVADO-COOPERATIVO (IMPUESTO)","1% VENTAS SECTOR PRIVADO Y COOPERATIVO","1% VENTAS PRIVADO-COOPERATIVO","14","group","0.0","sale","cu_tax_group_sale","private_cu_tax1_sale,private_cu_tax1_sale_reverse","","","",""
"private_cu_tax10_sale_all","10% VENTAS PRIVADO-COOPERATIVO (IMPUESTO)","10% VENTAS SECTOR PRIVADO Y COOPERATIVO","10% VENTAS PRIVADO-COOPERATIVO","15","group","0.0","sale","cu_tax_group_sale","private_cu_tax10_sale,private_cu_tax10_sale_reverse","","","",""
"private_cu_tax0_sale","0% PRIVADO-COOPERATIVO (VENTAS)","0% VENTAS SECTOR PRIVADO Y COOPERATIVO","0% VENTAS PRIVADO-COOPERATIVO","16","percent","0","sale","cu_tax_group_sale","","base","invoice","","100"
"","","","","","","","","","","tax","invoice","","100"
"","","","","","","","","","","base","refund","","100"
"","","","","","","","","","","tax","refund","","100"
